SUPPLIER_SK,S_SUPPKEY,S_NAME,S_ADDRESS,S_NATIONKEY,S_PHONE,S_ACCTBAL,START_DATE,END_DATE,IS_CURRENT,RECORD_SOURCE
1,1,Supplier#000000001,"N kD4on9OM Ipw3,gf0JBoQDd7tgrzrddZ",17,279183351736,5756.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
2,2,Supplier#000000002,"89eJ5ksX3ImxJQBvxObC,",5,156798612259,4033.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
3,3,Supplier#000000003,"q1,G3Pj6OjIuUYfUoH18BFTKP5aU9bEV3",1,113835161199,4192.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
4,4,Supplier#000000004,Bk7ah4CK8SYQTepEmvMkkgMwg,15,258437877479,4641.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
5,5,Supplier#000000005,Gcdm2rJRzl5qlTVzc,11,211516903663,0.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
6,6,Supplier#000000006,tQxuVm7s7CnK,14,246969974969,1366.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
7,7,Supplier#000000007,"s,4TicNGB4uO6PaSqNBUq",23,339909652201,6820.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
8,8,Supplier#000000008,9Sq4bBH2FQEmaFOocY45sRTxo6yuoG,17,274987423860,7628.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
9,9,Supplier#000000009,1KhUgZegwM3ua7dsYmekYBsK,10,204033988662,5302.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
10,10,Supplier#000000010,Saygah3gYWMp72i PY,24,348524898585,3892.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
11,11,Supplier#000000011,"JfwTs,LZrV, M,9C",18,286139961505,3393.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
12,12,Supplier#000000012,aLIW  q0HYd,8,181799257181,1433.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
13,13,Supplier#000000013,"HK71HQyWoqRWOX8GI FpgAifW,2PoH",3,137276207813,9107.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
14,14,Supplier#000000014,EXsnO5pTNj4iZRm,15,256562475058,9190.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
15,15,Supplier#000000015,"olXVbNBfVzRqgokr1T,Ie",8,184533576394,309.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
16,16,Supplier#000000016,YjP5C55zHDXL7LalK27zfQnwejdpin4AMpvh,22,328225024215,2972.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
17,17,Supplier#000000017,"c2d,ESHRSkK3WYnxpgw6aOqN0q",19,296018849219,1688.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
